Phone,Total Devices
Acer,100
Allview,157
Amoi,47
Archos,43
AT&T,4
BenQ,35
Bird,61
Blackview,45
Bosch,10
Casio,5
Celkon,229
Coolpad,41
Doogee,38
Energizer,62
Eten,22
Fujitsu Siemens,2
Gigabyte,63
Google,22
Honor,150
HTC,277
i-mate,34
Icemobile,61
Innostream,18
Intex,15
Karbonn,60
Lava,130
Lenovo,237
Maxon,31
Meizu,67
Microsoft,32
Mitsubishi,25
Motorola,576
NEC,73
NIU,30
Nothing,1
O2,45
Oppo,246
Palm,17
Pantech,72
Philips,229
Posh,30
QMobile,90
Razer,2
Sagem,120
Sendo,19
Sharp,68
Sonim,18
Sony Ericsson,188
T-Mobile,59
Tecno,105
Telit,30
Toshiba,35
Unnecto,30
verykool,139
VK Mobile,31
Wiko,95
XCute,4
XOLO,81
Yota,3
ZTE,336
alcatel,407
Amazon,22
Apple,108
Asus,196
Benefon,9
BenQ-Siemens,27
BlackBerry,92
BLU,360
BQ,20
Cat,21
Chea,12
Dell,20
Emporia,15
Ericsson,40
Fairphone,3
Garmin-Asus,5
Gionee,95
Haier,59
HP,41
Huawei,398
i-mobile,37
Infinix,98
iNQ,5
Jolla,3
Kyocera,24
LeEco,9
LG,667
Maxwest,41
Micromax,289
Mitac,12
Modu,8
MWg,5
Neonode,3
Nokia,553
Nvidia,3
OnePlus,50
Orange,19
Panasonic,123
Parla,10
Plum,113
Prestigio,56
Qtek,21
Realme,145
Samsung,1343
Sewon,25
Siemens,94
Sony,155
Spice,120
TCL,41
Tel.Me.,7
Thuraya,1
Ulefone,62
Vertu,17
vivo,325
Vodafone,87
WND,5
Xiaomi,307
Yezz,106
YU,13
